phone_no_m,city_name,county_name,idcard_cnt,arpu_201908,arpu_201909,arpu_201910,arpu_201911,arpu_201912,arpu_202001,arpu_202002,arpu_202003,label,voc_call_dur_count,voc_call_dur_sum,voc_call_dur_mean,voc_opposite_no_m_nunique,voc_call_type_1_cnt_sum,voc_call_type_2_cnt_sum,voc_imei_m_nunique,sms_sms_send_cnt_sum,sms_sms_recv_cnt_sum,sms_opposite_no_m_count,sms_opposite_no_m_nunique,sms_request_datetime_count,app_busi_name_count,app_busi_name_nunique,app_flow_sum,app_flow_mean
672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,绵阳,武侯区,1,46.06,45,45,45,45,45,45,45,0,1258,93320,74.18124006359301,95,649,609,2,6,1410,1416,211,1416,939,257,13264.280256271362,14.125964064186752
5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,德阳,旌阳区,1,79,79.2,79.1,79.3,41.4,34.1,59.4,60,0,156,12051,77.25,63,43,113,1,25,4217,4242,364,4242,1347,326,48193.7557554245,35.77858630692242
eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,成都,金堂县,2,18.85,24.45,22,21.4,22.15,21.1,61.3,63,0,1152,51317,44.54600694444444,124,779,373,4,97,1278,1375,364,1375,851,232,14326.727676391602,16.83516765733443
0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,成都,武侯区,2,19.2,29.65,130.4,173.12,19,19,19,23.2,0,5083,382624,75.2752311626992,1229,1457,3149,2,48,4322,4370,1176,4370,136,85,252.34998512268064,1.855514596490299
28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,德阳,江油市,1,50,50,50,50,50,50,50,50,0,61,2882,47.24590163934426,47,19,42,1,1,722,723,69,723,1166,270,62722.876178741455,53.79320426993264
16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,达州,宣汉县分公司,2,65.55,94.45,59,65.87,59,59,59,59.65,0,771,98062,127.18806744487678,189,598,173,3,33,1033,1066,168,1066,1115,295,12089.885214805605,10.842946380991572
a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,成都,郫县,1,0,0,0,10.49,45.5,46.6,0,0,1,1268,72339,57.04968454258675,1153,1253,15,4,1,94,95,11,95,153,99,1104.2672576904297,7.217433056800194
7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,乐山,新都区,4,0,0,0,0,40.34,0,0,0,1,126,16799,133.32539682539684,97,123,3,2,6,130,136,18,136,4,4,62.971550941467285,15.74288773536682
371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,德阳,罗江县,2,29.89,17.64,14.47,15.77,25.34,9.5,9,16.22,1,370,17549,47.42972972972973,308,369,1,5,323,3702,4025,725,4025,462,140,4278.209365844727,9.260193432564344
c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,成都,高新南区,2,21.67,29.82,36.37,20.59,15.97,23.84,15.24,14.63,0,2578,126875,49.21450737005431,656,1000,1578,1,112,3809,3921,1117,3921,1941,447,101956.22205257416,52.52767751291817
4a3fe69177d1db33296ead78bc2eb3410f458f51ceea9c26ad5c7baf10e07e5f0ad6795b98145306d9844f93d4a239bb054ebc20905d55880ea5fdc19331c2da,达州,大竹县分公司,1,1.16,1.22,1.16,1.16,1.16,1.84,1.16,1.28,0,503,54303,107.95825049701789,53,144,359,1,0,1059,1059,103,1059,220,100,532.1615676879883,2.418916216763583
1708e1c2c7e6e3ba949421eede6d80cf77fb12b692a7514a988cd74ad89d963f0c129dfc0db43c5c8fba6b6122c12a3e7e6dc4930686d39b60a1ecd16afa6cda,成都,青白江分公司,3,78.78,79.14,79.87,78.78,79.24,78.78,102.2,102.1,0,526,40338,76.68821292775665,108,257,269,1,19,1428,1447,219,1447,875,230,49851.29077339172,56.97290374101911
1de2d338adcd6a255a17141ba1c663fbc8071f2ed756a248d6f1d77f44f6d841a68cae430cf13f09bc447e97416b9cee313fe305742d0913a912da426593108c,成都,成都直属部门,1,19,19,19,19,19,19,19,19,0,47,2310,49.14893617021277,21,33,14,2,1,866,867,93,867,121,95,1382.9682912826538,11.429490010600444
