date,exposure,rank,hot,search,new_user
2020/1/1,150538,13,8370,16358,2407
2020/1/2,198625,15,8561,21785,2938
2020/1/3,189144,17,8464,18835,2733
2020/1/4,157297,17,8352,15922,2417
2020/1/5,143070,18,8370,16358,2370
2020/1/6,120847,19,8367,16285,2255
2020/1/7,164539,15,8342,15685,2441
2020/1/8,178921,14,8391,16881,2577
2020/1/9,159095,14,8409,17343,2503
2020/1/10,167707,15,8418,17579,2559
2020/1/11,140033,16,8364,16211,2347
2020/1/12,108501,16,8350,15875,2171
2020/1/13,89742,13,8316,15085,2034
2020/1/14,116186,14,8296,14639,2142
2020/1/15,150951,13,8294,14595,2313
2020/1/16,177998,11,8417,17553,2609
2020/1/17,169099,13,8398,17060,2538
2020/1/18,157802,14,8362,16163,2433
2020/1/19,136215,13,8405,17240,2383
2020/1/20,106754,13,8405,17240,2236
2020/1/21,147657,13,8405,17240,2440
2020/1/22,135023,11,8424,17738,2404
2020/1/23,170004,11,8456,18610,2626
2020/1/24,162024,11,8499,19850,2652
2020/1/25,149406,11,8497,19791,2586
2020/1/26,117659,11,8483,19380,2405
2020/1/27,119056,11,8363,16187,2240
2020/1/28,94557,12,8419,17606,2194
2020/1/29,99117,13,8349,15851,2123
2020/1/30,96672,15,8269,14058,2013
2020/1/31,86993,13,8266,13995,1961
2020/2/1,150538,13,8370,16358,2311
2020/2/2,198625,15,8561,20785,2770
2020/2/3,189144,17,8464,18835,2624
2020/2/4,157297,17,8352,15922,2321
2020/2/5,143070,18,8370,16358,2275
2020/2/6,120847,19,8367,16285,2164
2020/2/7,164539,15,8342,15685,2343
2020/2/8,178921,14,8391,16881,2474
2020/2/9,159095,14,8409,17343,2403
2020/2/10,167707,15,8418,17579,2456
2020/2/11,140033,16,8364,16211,2253
2020/2/12,108501,16,8350,15875,2084
2020/2/13,89742,13,8316,15085,1953
2020/2/14,116186,14,8296,15639,2056
2020/2/15,150951,13,8294,15595,2221
2020/2/16,177998,11,8417,17553,2504
2020/2/17,169099,13,8398,17060,2436
2020/2/18,157802,14,8362,16163,2336
2020/2/19,136215,13,8405,17240,2288
2020/2/20,106754,13,8405,17240,2146
2020/2/21,147657,13,8405,17240,2343
2020/2/22,135023,11,8424,17738,2308
2020/2/23,170004,11,8456,18610,2521
2020/2/24,162024,11,8499,19850,2546
2020/2/25,149406,11,8497,19791,2482
2020/2/26,117659,11,8483,19380,2309
2020/2/27,119056,11,8363,16187,2151
2020/2/28,94557,12,8419,17606,2107
2020/2/29,99117,13,8349,15851,2038
2020/3/1,150538,13,8370,16358,2407
2020/3/2,198625,15,8561,20785,2938
2020/3/3,189144,17,8464,18835,2733
2020/3/4,157297,17,8352,15922,2417
2020/3/5,143070,18,8370,16358,2370
2020/3/6,120847,19,8367,16285,2255
2020/3/7,164539,15,8342,15685,2441
2020/3/8,178921,14,8391,16881,2577
2020/3/9,159095,14,8409,17343,2503
2020/3/10,167707,15,8418,17579,2559
2020/3/11,140033,16,8364,16211,2347
2020/3/12,108501,16,8350,15875,2171
2020/3/13,89742,13,8316,15285,2036
2020/3/14,116186,14,8296,14639,2142
2020/3/15,150951,13,8294,14595,2313
2020/3/16,177998,11,8417,17553,2609
2020/3/17,169099,13,8398,17060,2538
2020/3/18,157802,14,8362,16163,2433
2020/3/19,136215,13,8405,17240,2383
2020/3/20,106754,13,8405,17240,2236
2020/3/21,147657,13,8405,17240,2440
2020/3/22,135023,11,8424,17738,2404
2020/3/23,170004,11,8456,18610,2626
2020/3/24,162024,11,8499,19850,2652
2020/3/25,149406,11,8497,19791,2586
2020/3/26,117659,11,8483,19380,2405
2020/3/27,119056,11,8363,16187,2240
2020/3/28,94557,12,8419,17606,2194
2020/3/29,99117,13,8349,15851,2123
2020/3/30,96672,15,8269,14058,2013
2020/3/31,86993,13,8266,13995,1961
2020/4/1,150538,13,8370,16358,2311
2020/4/2,198625,15,8561,20785,2820
2020/4/3,189144,17,8464,18835,2624
2020/4/4,157297,17,8352,15922,2321
2020/4/5,143070,18,8370,16358,2275
2020/4/6,120847,19,8367,16285,2164
2020/4/7,164539,15,8342,15685,2343
2020/4/8,178921,14,8391,16881,2474
2020/4/9,159095,14,8409,17343,2403
2020/4/10,167707,15,8418,17579,2456
2020/4/11,140033,16,8364,16211,2253
2020/4/12,108501,16,8350,15875,2084
2020/4/13,89742,13,8316,15085,1953
2020/4/14,116186,14,8296,14639,2056
2020/4/15,150951,13,8294,14595,2221
2020/4/16,177998,11,8417,17553,2504
2020/4/17,169099,13,8398,17060,2436
2020/4/18,157802,14,8362,16163,2336
2020/4/19,136215,13,8405,17240,2288
2020/4/20,106754,13,8405,17240,2146
2020/4/21,147657,13,8405,17240,2343
2020/4/22,135023,11,8424,17738,2308
2020/4/23,170004,11,8456,18610,2521
2020/4/24,162024,11,8499,19850,2546
2020/4/25,149406,11,8497,19791,2482
2020/4/26,117659,11,8483,19380,2309
2020/4/27,119056,11,8363,16187,2151
2020/4/28,94557,12,8419,17606,2107
2020/4/29,99117,13,8349,15851,2038
2020/4/30,108501,16,8350,15875,2084
