uid,register_date,first_order_date,gender,city,province,country,order_count,total_amount,last_order_date,time_gap
54993,2011-11-02,2013-12-24,男,.,北京,CN,210,580717,2019-03-31,1
28065,2012-02-19,2012-08-02,男,,北京,CN,140,293678,2019-03-25,7
55106,2012-02-01,2012-08-29,男,.,北京,CN,135,283712,2019-03-21,11
21189,2013-08-22,2013-08-23,男,Los Angeles,CA,US,23,281336,2018-12-26,96
39546,2014-04-10,2014-04-15,男,贵阳,贵州,CN,152,309928,2019-03-27,5
56972,2013-02-09,2014-09-29,男,广州,广东,CN,92,294585,2019-01-13,78
44924,2011-03-22,2011-03-29,男,乌鲁木齐市,新疆,CN,101,287042,2019-03-31,1
22631,2015-04-09,2015-04-09,女,温州市,浙江,CN,73,287230,2019-03-29,3
32197,2016-06-06,2016-06-30,男,DRANCY,,FR,56,321489,2019-03-26,6
31645,2015-07-05,2015-07-05,女,温州,浙江,CN,64,375074,2019-03-17,15
58877,2015-11-18,2015-11-20,女,PARIS,PARIS,FR,43,262013,2019-03-10,22
37994,2009-11-13,2009-12-02,男,北京,.,CN,145,271438,2019-03-26,6
28012,2011-11-23,2012-11-17,男,SAN MARINO,CA,US,29,321529,2019-01-25,66
54943,2011-10-25,2012-10-26,男,深圳,广东,CN,118,179514,2019-03-29,3
57881,2015-02-01,2015-02-01,女,广州,广东,CN,50,270067,2019-03-30,2
1254,2013-03-28,2013-04-05,男,BOWLAND HEIGHTS,CALIFORNIA,US,22,234721,2019-01-27,64
8253,2015-07-15,2015-08-20,男,乌鲁木齐,新疆,CN,101,172231,2019-03-25,7
58899,2015-11-10,2016-02-23,女,PARIS,,FR,40,284160,2019-02-16,44
26955,2011-04-06,2012-02-22,男,乌鲁木齐市,新疆,CN,64,169358,2019-03-30,2
41616,2016-08-28,2016-10-21,男,东莞,广东,CN,38,332896,2019-03-08,24
21501,2013-07-30,2013-11-21,男,.,北京,CN,106,167113,2019-03-28,4
41281,2016-06-06,2016-06-08,男,VECHEL,NORD BRABANT,AN,23,214590,2019-03-26,6
47229,2010-04-10,2010-04-10,男,广州,广东,CN,94,305250,2019-03-09,23
28474,2015-04-13,2015-04-13,男,,CA,US,20,222380,2019-01-18,73
58472,2015-02-14,2015-03-01,女,,,FR,44,281837,2019-03-15,17
13942,2015-10-14,2015-11-01,男,PARIS,FRANCE,FR,62,243674,2019-03-15,17
45075,2012-02-01,2012-03-22,男,湛江,广东,CN,213,187917,2019-03-29,3
47114,2010-01-15,2010-03-17,男,.,北京,CN,74,148685,2019-03-21,11
54619,2011-01-07,2011-01-08,男,广州,广东,CN,101,159129,2019-03-14,18
12349,2013-06-16,2013-06-27,男,深圳,广东,CN,87,149254,2019-03-21,11
35883,2011-04-11,2012-04-17,男,乌鲁木齐市,新疆,CN,53,144076,2019-03-30,2
56091,2009-11-25,2010-02-10,女,广州市,广东省,CN,95,149053,2019-03-24,8
